symbol,or_open,or_high,or_low,or_close,or_volume,bars,has_open_bar,or_volume_avg,rel_volume,atr,avg_volume,day_open,date,direction,risk_per_share,entry,stop,shares,leverage_scale,side,notional
WYNN,89.45,90.2044,88.7,89.175,137078,5,True,33420.28571428572,4.101640577579058,2.640303493750347,1640633.642857143,89.45,2026-09-10,-1,0.2640303493750347,88.7,88.96403034937504,4,0.010965912706208515,sell,354.8
IWM,288.48,288.54,287.67,288.23,1718750,5,True,708853.7857142857,2.424689032686874,3.268537348943786,17725109.64285714,288.48,2026-09-10,-1,0.32685373489437863,287.67,287.9968537348944,3,0.010965912706208515,sell,863.01
CVX,217.4,217.4,215.2,215.61,618882,5,True,280409.28571428574,2.207066711159453,4.087894311305949,7600478.5,217.4,2026-09-10,-1,0.40878943113059496,215.2,215.6087894311306,2,0.010965912706208515,sell,430.4
XOM,167.0,167.37,165.82,166.3499,828045,5,True,383542.78571428574,2.1589377530798854,3.540552196434756,13886872.07142857,167.0,2026-09-10,-1,0.35405521964347564,165.82,166.17405521964346,3,0.010965912706208515,sell,497.46
T,25.37,25.56,25.2,25.435,2004198,5,True,952571.1428571428,2.10398773364959,0.5425485609408279,31426310.07142857,25.37,2026-09-10,1,0.054254856094082794,25.56,25.505745143905916,20,0.010965912706208515,buy,511.2
URBN,76.57,76.57,74.82,75.3,56471,5,True,27786.64285714286,2.0323074036086197,3.0233004871363875,1460793.9285714286,76.57,2026-09-10,-1,0.3023300487136388,74.82,75.12233004871364,3,0.010965912706208515,sell,224.45999999999998
WFC,89.65,89.99,89.205,89.56,719051,5,True,355336.35714285716,2.023578464589587,1.8567326586984487,12940363.0,89.65,2026-09-10,-1,0.1856732658698449,89.205,89.39067326586985,5,0.010965912706208515,sell,446.025
RCL,258.33,260.95,257.6,257.6,108315,5,True,55929.92857142857,1.93661967334126,7.953900856971105,1818318.0,258.33,2026-09-10,-1,0.7953900856971106,257.6,258.39539008569716,1,0.010965912706208515,sell,257.6
AAPL,316.67,320.8599,316.51,319.4,3188501,5,True,1665473.5714285714,1.9144710878029974,7.635411053987764,40187340.21428572,316.67,2026-09-10,1,0.7635411053987764,320.8599,320.0963588946012,1,0.010965912706208515,buy,320.8599
QQQ,707.56,708.44,706.855,707.775,1660196,5,True,963859.8571428572,1.7224454236752558,8.944761413057126,30111323.214285713,707.56,2026-09-10,1,0.8944761413057126,708.44,707.5455238586943,1,0.010965912706208515,buy,708.44
SPY,758.02,758.4,757.61,757.76,1715499,5,True,1037046.0714285715,1.6542167674738242,6.053944669726306,36424169.14285714,758.02,2026-09-10,-1,0.6053944669726307,757.61,758.2153944669726,1,0.010965912706208515,sell,757.61
FSLR,197.61,199.5264,197.1,198.34,106788,5,True,64913.0,1.645094203010183,9.737985610493993,1889509.7142857143,197.61,2026-09-10,1,0.9737985610493993,199.5264,198.5526014389506,1,0.010965912706208515,buy,199.5264
HD,308.13,308.28,305.565,305.995,196405,5,True,123390.21428571429,1.5917388679236544,7.101914041190937,3566187.214285714,308.13,2026-09-10,-1,0.7101914041190938,305.565,306.2751914041191,1,0.010965912706208515,sell,305.565
IBM,238.18,239.515,235.5,236.01,233599,5,True,147991.57142857142,1.5784615147001615,6.761372419817333,4531306.214285715,238.18,2026-09-10,-1,0.6761372419817333,235.5,236.17613724198173,1,0.010965912706208515,sell,235.5
ADBE,251.81,255.0,251.1853,251.72,290108,5,True,194932.64285714287,1.4882474056056725,10.807495690591507,4353622.928571428,251.81,2026-09-10,-1,1.0807495690591506,251.1853,252.26604956905916,1,0.010965912706208515,sell,251.1853
XLE,66.14,66.17,65.44,65.6,1917068,5,True,1314619.5714285714,1.4582682638116817,1.1723540953930638,26344276.214285713,66.14,2026-09-10,-1,0.11723540953930639,65.44,65.5572354095393,9,0.010965912706208515,sell,588.96
ORCL,158.375,158.48,156.31,156.57,1571956,5,True,1098531.0,1.4309618936561646,6.890877956373472,22069609.5,158.375,2026-09-10,-1,0.6890877956373472,156.31,156.99908779563734,1,0.010965912706208515,sell,156.31
DD,127.48,128.305,127.09,127.775,24794,4,True,17926.071428571428,1.383125136971291,3.4097933707695054,1199388.2857142857,127.48,2026-09-10,1,0.34097933707695055,128.305,127.96402066292306,3,0.010965912706208515,buy,384.915
HOG,26.68,26.695,26.25,26.43,34604,5,True,25441.64285714286,1.360132291546761,0.9810428325737461,1612209.4285714286,26.68,2026-09-10,-1,0.09810428325737462,26.25,26.348104283257374,11,0.010965912706208515,sell,288.75
