symbol,dollar_volume_2016,median_price_2016,days_2016,name
A,87374348.38,44.870000000000005,252,Agilent Technologies Inc.
AAL,321274380.83,38.275000000000006,252,American Airlines Group Inc. Common Stock
AAP,148371000.25,154.91,252,ADVANCE AUTO PARTS INC
AAPL,3694932929.2799997,105.75,252,Apple Inc. Common Stock
ABBV,473333484.28999996,61.215,252,ABBVIE INC.
ABEV,78762235.5,5.355,252,AMBEV S.A.
ABT,344218659.78,40.17,252,Abbott Laboratories
ACAD,63604305.39,29.39,252,ACADIA Pharmaceuticals Inc. Common Stock
ACN,279257112.67499995,114.97999999999999,252,Accenture PLC
ADBE,245747463.52499998,97.755,252,Adobe Inc. Common Stock
ADI,138095559.87,59.17,252,"Analog Devices, Inc. Common Stock"
ADM,139685315.7,42.175,252,Archer Daniels Midland Company
ADP,171496103.81,88.515,252,"Automatic Data Processing, Inc. Common Stock"
ADSK,118635819.205,59.045,252,"Autodesk, Inc. Common Stock"
AEE,84127077.165,49.075,252,Ameren Corporation
AEM,102361201.635,45.05,252,Agnico Eagle Mines Ltd.
AEO,81414419.0,16.305,252,American Eagle Outfitters
AEP,183549408.37,64.215,252,"American Electric Power Company, Inc. Common Stock"
AER,84184178.63499999,38.53,252,Aercap Holdings N.V.
AFL,144353789.08999997,69.435,252,Aflac Inc.
AGNC,62673706.010000005,18.985,252,AGNC Investment Corp. Common Stock
AIG,391527558.08,56.805,252,"American International Group, Inc."
AKAM,107572959.575,54.35,252,"Akamai Technologies, Inc. Common Stock"
ALB,87894430.57,80.045,252,Albemarle Corporation
ALK,98853804.30000001,69.79,252,"Alaska Air Group, Inc."
ALL,145436140.68,67.66,252,The Allstate Corporation
ALLY,71880044.12,18.095,252,Ally Financial Inc.
AMAT,302542223.19,24.43,252,"Applied Materials, Inc. Common Stock"
AMD,136303969.96,5.109999999999999,252,"Advanced Micro Devices, Inc. Common Stock"
AME,75681240.29499999,47.55,252,"Ametek, Inc."
AMG,82950135.82499999,145.34,252,Affiliated Managers Group
AMGN,517453826.96,154.17000000000002,252,Amgen Inc. Common Stock
AMP,116562044.965,96.655,252,"Ameriprise Financial, Inc."
AMT,221944784.385,106.435,252,American Tower Corporation
AMTD,88977950.94,31.310000000000002,252,"AMTD IDEA Group American Depositary Shares, each representing six (6) Class A Ordinary Shares"
AMZN,2630776220.365,727.875,252,"Amazon.com, Inc. Common Stock"
AON,113482068.08,108.675,252,Aon plc Class A
APA,215334514.8,54.635000000000005,252,APA Corporation Common Stock
APC,290403941.21000004,53.575,252,ARKO Petroleum Corp. Class A Common Stock
APD,180376327.525,143.275,252,"Air Products & Chemicals, Inc."
