symbol,rank_window,median_price,median_dollar_volume,median_atr,atr_pct,sessions,name
NNE,2024-02-12..2025-02-12,18.89,65443985.260000005,3.0942403361428643,0.158672772092554,192,Nano Nuclear Energy Inc. Common Stock
SMR,2024-02-12..2025-02-12,10.0,67159567.795,1.1711968017333907,0.10943603136335243,252,NuScale Power Corporation
TEM,2024-02-12..2025-02-12,46.58,65242384.82,5.154356110010458,0.10714314006006162,166,"Tempus AI, Inc. Class A Common Stock"
DJT,2024-02-12..2025-02-12,34.209999999999994,216800409.3,3.5863186340094626,0.10207582642268499,252,Trump Media & Technology Group Corp. Common Stock
CLSK,2024-02-12..2025-02-12,14.5,411683211.34000003,1.4772874860720349,0.09968568415630676,252,"CleanSpark, Inc. Common Stock"
MSTR,2024-02-12..2025-02-12,416.64,2766453028.325,95.03350104713876,0.09780856761022808,252,Strategy Inc Common Stock Class A
SMCI,2024-02-12..2025-02-12,612.075,3923352980.3500004,53.44460422846813,0.09271219454735864,252,"Super Micro Computer, Inc. Common Stock"
ASTS,2024-02-12..2025-02-12,19.97,143677364.58,1.813156567767176,0.09157784845379516,252,"AST SpaceMobile, Inc. Class A Common Stock"
MARA,2024-02-12..2025-02-12,19.285,800270472.875,1.7665557528445452,0.09023751793163888,252,"MARA Holdings, Inc. Common Stock"
HUT,2024-02-12..2025-02-12,12.0,56459844.400000006,1.1566269045878022,0.09021082761451754,252,Hut 8 Corp. Common Stock
WOLF,2024-02-12..2025-02-12,15.325,93678705.925,1.3635308715389765,0.08944932829023108,252,"Wolfspeed, Inc."
SEDG,2024-02-12..2025-02-12,25.035,88427287.125,2.256537437864872,0.08806456038808391,252,"SolarEdge Technologies, Inc. Common Stock"
RIOT,2024-02-12..2025-02-12,10.515,229032481.385,0.8819273620979872,0.08380740104927246,252,"Riot Platforms, Inc. Common Stock"
ENVX,2024-02-12..2025-02-12,10.1,52020059.215,0.855092608068709,0.08066576649351437,252,Enovix Corporation Common Stock
RUN,2024-02-12..2025-02-12,12.309999999999999,124644725.82,1.0195932729807264,0.07823479038820756,252,Sunrun Inc. Common Stock
CORZ,2024-02-12..2025-02-12,10.14,98811492.19,0.8262619022276645,0.07502549382742392,252,"Core Scientific, Inc. Common Stock"
VKTX,2024-02-12..2025-02-12,59.885000000000005,171320004.26000002,4.351645666090535,0.07443406176421558,252,"Viking Therapeutics, Inc. Common Stock"
ALAB,2024-02-12..2025-02-12,69.845,179579928.89999998,5.063139319618622,0.0697881031193111,226,"Astera Labs, Inc. Common Stock"
COIN,2024-02-12..2025-02-12,229.0,2061218956.3600001,16.224348770887804,0.06957275701561526,252,"Coinbase Global, Inc. Class A Common Stock"
UPST,2024-02-12..2025-02-12,34.76,213439682.82,2.836818656120954,0.06925801821428679,252,"Upstart Holdings, Inc. Common stock"
BE,2024-02-12..2025-02-12,11.855,65682611.33,0.8762803381089554,0.06845940141476214,252,Bloom Energy Corporation
HIMS,2024-02-12..2025-02-12,19.314999999999998,171013689.675,1.3491466013180482,0.06609504649155147,252,"Hims & Hers Health, Inc."
RIVN,2024-02-12..2025-02-12,11.855,382557154.58500004,0.8002381408667973,0.06551177562451395,252,"Rivian Automotive, Inc. Class A Common Stock"
SG,2024-02-12..2025-02-12,31.619999999999997,76554666.605,2.091190736867501,0.06464369519391425,252,"Sweetgreen, Inc."
RDDT,2024-02-12..2025-02-12,65.92,286718096.08,4.7575999807255105,0.06368245592554056,225,"Reddit, Inc."
GME,2024-02-12..2025-02-12,22.58,172671499.905,1.4721259363180041,0.06245245924697932,252,GameStop Corp. Class A
MBLY,2024-02-12..2025-02-12,19.509999999999998,85695333.01,1.2687796623425647,0.062317577637770155,252,Mobileye Global Inc. Class A Common Stock
POWL,2024-02-12..2025-02-12,170.945,72721667.715,11.1873434472072,0.062146764874283104,252,"Powell Industries, Inc. Common Stock"
AFRM,2024-02-12..2025-02-12,37.52,264165713.94,2.491687035666719,0.06148066969977,252,"Affirm Holdings, Inc. Class A Common Stock"
OSCR,2024-02-12..2025-02-12,16.75,51780183.735,1.068580140939012,0.06134286064367188,252,"Oscar Health, Inc."
