symbol,rank_window,median_price,median_dollar_volume,median_atr,atr_pct,sessions,name
NVR,2024-02-12..2025-02-12,8142.105,153985029.22,196.6368392367834,0.02255234236231784,252,"NVR, Inc."
MSTR,2024-02-12..2025-02-12,416.64,2766453028.325,95.03350104713876,0.09780856761022808,252,Strategy Inc Common Stock Class A
BKNG,2024-02-12..2025-02-12,3916.55,880300129.78,81.97221833568227,0.02048666542838152,252,Booking Holdings Inc. Common Stock
SMCI,2024-02-12..2025-02-12,612.075,3923352980.3500004,53.44460422846813,0.09271219454735864,252,"Super Micro Computer, Inc. Common Stock"
MELI,2024-02-12..2025-02-12,1759.995,558778696.6700001,49.672722076558806,0.028832533341017902,252,"MercadoLibre, Inc. Common Stock"
FCNCA,2024-02-12..2025-02-12,1878.31,139675027.75,48.51869116459632,0.02490679818610054,252,"First Citizens BancShares, Inc. Class A Common Stock"
FICO,2024-02-12..2025-02-12,1714.095,253367948.41,41.274383814923965,0.026460281734940846,252,Fair Isaac Corporation
MTD,2024-02-12..2025-02-12,1340.845,156255792.55,33.20819867597487,0.025023936803792148,252,Mettler-Toledo International
MPWR,2024-02-12..2025-02-12,734.975,417073818.245,29.556216047401175,0.04090077175992852,252,"Monolithic Power Systems, Inc. Common Stock"
AVGO,2024-02-12..2025-02-12,230.385,4038132195.645,28.799865766921588,0.03772904449389969,252,Broadcom Inc. Common Stock
TDG,2024-02-12..2025-02-12,1287.89,272935737.375,28.568712031049458,0.021792428179254593,252,TransDigm Group Incorporated
ASML,2024-02-12..2025-02-12,872.37,1016672519.9000001,27.700555369017206,0.029978973913488027,252,ASML Holding N.V. New York Registry Shares
LRCX,2024-02-12..2025-02-12,843.0450000000001,880735737.81,27.387083175882008,0.04088671729031224,252,Lam Research Corporation Common Stock
DECK,2024-02-12..2025-02-12,850.575,305087715.47,24.221147644813605,0.03134759463288719,252,Deckers Outdoor Corp
KLAC,2024-02-12..2025-02-12,714.04,637624387.305,22.933630239984623,0.031082726651939483,252,KLA Corporation Common Stock
NOW,2024-02-12..2025-02-12,818.91,995128967.66,22.407327281749442,0.02611440981984431,252,"SERVICENOW, INC."
LLY,2024-02-12..2025-02-12,806.0999999999999,2318419192.51,21.147196055845768,0.02564825249379771,252,Eli Lilly & Co.
HUBS,2024-02-12..2025-02-12,605.4649999999999,288331012.72,20.871313241004884,0.03185001887622051,252,"HUBSPOT, INC."
URI,2024-02-12..2025-02-12,712.3399999999999,353904671.65,20.855998356708724,0.028981706194280317,252,"United Rentals, Inc."
REGN,2024-02-12..2025-02-12,967.61,510751099.42999995,20.805768600503132,0.02082080840462311,252,"Regeneron Pharmaceuticals, Inc. Common Stock"
CMG,2024-02-12..2025-02-12,60.49,621285330.895,18.932157336033058,0.02467240697848386,252,"Chipotle Mexican Grill, Inc."
SAIA,2024-02-12..2025-02-12,470.63,153637827.77499998,18.50857382388868,0.04014851564730803,252,"Saia, Inc. Common Stock"
EQIX,2024-02-12..2025-02-12,858.44,389027437.055,17.54776876978521,0.02054065280450937,252,"Equinix, Inc. Common Stock REIT"
NFLX,2024-02-12..2025-02-12,679.3050000000001,2117096177.495,16.97612333734904,0.023516423090358195,252,"Netflix, Inc. Common Stock"
COIN,2024-02-12..2025-02-12,229.0,2061218956.3600001,16.224348770887804,0.06957275701561526,252,"Coinbase Global, Inc. Class A Common Stock"
SNPS,2024-02-12..2025-02-12,544.73,497089525.35,15.47446661083048,0.02901085381205868,252,"Synopsys, Inc. Common Stock"
LII,2024-02-12..2025-02-12,566.015,135011016.12,14.935638191755219,0.026042798415432587,252,Lennox International Inc.
INTU,2024-02-12..2025-02-12,633.215,805650379.1199999,14.717055458112368,0.0235300366665648,252,Intuit Inc. Common Stock
META,2024-02-12..2025-02-12,518.6600000000001,6542204795.74,14.193464657162226,0.02636369682109757,252,"Meta Platforms, Inc. Class A Common Stock"
FIX,2024-02-12..2025-02-12,333.44,118996239.94999999,13.75477970277589,0.03500157062787949,252,"Comfort Systems USA, Inc."
