symbol,rows,seconds,error
AAPL,782613,70.6,
ABBV,780705,38.0,
ACAD,743100,34.5,
ADBE,777303,36.0,
ALK,764805,30.6,
ALLY,776200,35.7,
AMD,782217,54.5,
AMGN,777808,32.5,
AMZN,780152,48.4,
APC,351968,17.2,
AVGO,772047,39.1,
BA,780355,42.0,
BAC,781320,46.3,
BIIB,737663,37.1,
BJ,515489,23.7,
BLMN,740605,32.2,
BMY,780497,34.6,
BRO,712930,31.2,
C,780696,48.2,
CMC,738203,32.1,
CMCSA,781187,38.9,
CNP,777027,39.1,
CSCO,781360,49.9,
CSX,780931,37.2,
CVX,780564,39.8,
DAL,780707,44.6,
DD,778840,45.9,
DDD,753059,36.4,
DIS,780751,43.2,
ELV,738076,33.5,
EXAS,758771,33.1,
F,781506,42.8,
FL,774532,42.1,
FOSL,669947,28.9,
FSLR,764722,39.0,
GILD,781206,40.7,
GM,780942,55.5,
GOOGL,760333,45.9,
GS,777157,41.8,
HD,780378,42.8,
HOG,762846,36.0,
HP,753323,32.5,
IBM,780659,37.8,
INTC,781596,45.0,
IWM,782712,54.4,
JBL,736163,37.3,
JNJ,780802,39.2,
JPM,781041,50.2,
KO,780926,40.9,
LOW,779470,44.2,
MARA,455345,33.1,
META,781926,60.5,
MRK,780301,43.0,
MS,780317,40.4,
MSFT,781755,57.0,
NFLX,780943,51.9,
NKE,780478,41.2,
NVDA,782036,59.2,
NWL,777441,38.1,
OKTA,623743,29.8,
ORCL,780305,39.9,
PARA,34508,1.9,
PBF,772372,40.6,
PEP,780974,38.0,
PFE,780838,43.2,
PG,780275,39.6,
PSTG,757819,36.1,
PSX,778872,36.4,
QCOM,781345,42.7,
QQQ,782371,75.7,
RCL,770529,39.7,
ROST,775832,37.5,
SKX,762733,38.3,
SLB,780430,38.5,
SPLK,761209,36.5,
SPY,783770,81.7,
SQ,777752,52.1,
SWBI,691131,35.3,
T,780999,45.6,
TDOC,719673,36.0,
TRGP,768865,35.3,
TSLA,782021,65.0,
TT,755451,35.3,
TWLO,724524,36.5,
UNH,778425,37.7,
URBN,766885,35.1,
V,780498,40.8,
VIR,347718,16.2,
VOYA,741399,33.7,
VZ,780577,45.2,
W,747375,39.2,
WDC,780541,38.9,
WFC,780651,45.2,
WMB,779982,41.1,
WMT,780549,42.1,
WW,436935,20.6,
WYNN,771729,37.5,
XLE,782318,45.1,
XLF,782358,44.5,
XOM,780694,43.8,
