symbol,in_paper_5m_tables,days_with_data,first_day,last_day,full_history
AAPL,False,2012,2016-01-04,2023-12-29,True
ABBV,False,2012,2016-01-04,2023-12-29,True
ACAD,True,2012,2016-01-04,2023-12-29,True
ADBE,True,2012,2016-01-04,2023-12-29,True
ALK,True,2012,2016-01-04,2023-12-29,True
ALLY,True,2012,2016-01-04,2023-12-29,True
AMD,True,2012,2016-01-04,2023-12-29,True
AMGN,False,2012,2016-01-04,2023-12-29,True
AMZN,False,2012,2016-01-04,2023-12-29,True
APC,True,906,2016-01-04,2019-08-08,False
AVGO,False,2012,2016-01-04,2023-12-29,True
BA,False,2012,2016-01-04,2023-12-29,True
BAC,False,2012,2016-01-04,2023-12-29,True
BIIB,False,2012,2016-01-04,2023-12-29,True
BJ,True,1386,2018-06-28,2023-12-29,False
BLMN,True,2012,2016-01-04,2023-12-29,True
BMY,False,2012,2016-01-04,2023-12-29,True
BRO,True,2012,2016-01-04,2023-12-29,True
C,False,2012,2016-01-04,2023-12-29,True
CMC,True,2012,2016-01-04,2023-12-29,True
CMCSA,False,2012,2016-01-04,2023-12-29,True
CNP,True,2012,2016-01-04,2023-12-29,True
CSCO,False,2012,2016-01-04,2023-12-29,True
CSX,True,2012,2016-01-04,2023-12-29,True
CVX,False,2012,2016-01-04,2023-12-29,True
DAL,False,2012,2016-01-04,2023-12-29,True
DD,True,2012,2016-01-04,2023-12-29,True
DDD,True,2012,2016-01-04,2023-12-29,True
DIS,False,2012,2016-01-04,2023-12-29,True
ELV,True,2012,2016-01-04,2023-12-29,True
EXAS,True,2012,2016-01-04,2023-12-29,True
F,False,2012,2016-01-04,2023-12-29,True
FL,True,2012,2016-01-04,2023-12-29,True
FOSL,True,2012,2016-01-04,2023-12-29,True
FSLR,True,2012,2016-01-04,2023-12-29,True
GILD,False,2012,2016-01-04,2023-12-29,True
GM,False,2012,2016-01-04,2023-12-29,True
GOOGL,False,2012,2016-01-04,2023-12-29,True
GS,False,2012,2016-01-04,2023-12-29,True
HD,False,2012,2016-01-04,2023-12-29,True
HOG,True,2012,2016-01-04,2023-12-29,True
HP,True,2012,2016-01-04,2023-12-29,True
IBM,False,2012,2016-01-04,2023-12-29,True
INTC,False,2012,2016-01-04,2023-12-29,True
IWM,False,2012,2016-01-04,2023-12-29,True
JBL,True,2012,2016-01-04,2023-12-29,True
JNJ,False,2012,2016-01-04,2023-12-29,True
JPM,False,2012,2016-01-04,2023-12-29,True
KO,False,2012,2016-01-04,2023-12-29,True
LOW,False,2012,2016-01-04,2023-12-29,True
MARA,True,1552,2017-10-30,2023-12-29,False
META,False,2012,2016-01-04,2023-12-29,True
MRK,False,2012,2016-01-04,2023-12-29,True
MS,False,2012,2016-01-04,2023-12-29,True
MSFT,False,2012,2016-01-04,2023-12-29,True
NFLX,False,2012,2016-01-04,2023-12-29,True
NKE,False,2012,2016-01-04,2023-12-29,True
NVDA,True,2012,2016-01-04,2023-12-29,True
NWL,True,2012,2016-01-04,2023-12-29,True
OKTA,True,1694,2017-04-07,2023-12-29,False
ORCL,False,2012,2016-01-04,2023-12-29,True
PARA,True,2012,2016-01-04,2023-12-29,True
PBF,True,2012,2016-01-04,2023-12-29,True
PEP,False,2012,2016-01-04,2023-12-29,True
PFE,False,2012,2016-01-04,2023-12-29,True
PG,False,2012,2016-01-04,2023-12-29,True
PSTG,True,2012,2016-01-04,2023-12-29,True
PSX,True,2012,2016-01-04,2023-12-29,True
QCOM,False,2012,2016-01-04,2023-12-29,True
QQQ,False,2012,2016-01-04,2023-12-29,True
RCL,True,2012,2016-01-04,2023-12-29,True
ROST,True,2012,2016-01-04,2023-12-29,True
SKX,True,2012,2016-01-04,2023-12-29,True
SLB,False,2012,2016-01-04,2023-12-29,True
SPLK,True,2012,2016-01-04,2023-12-29,True
SPY,False,2012,2016-01-04,2023-12-29,True
SQ,True,2012,2016-01-04,2023-12-29,True
SWBI,True,2012,2016-01-04,2023-12-29,True
T,False,2012,2016-01-04,2023-12-29,True
TDOC,True,2012,2016-01-04,2023-12-29,True
TRGP,True,2012,2016-01-04,2023-12-29,True
TSLA,True,2012,2016-01-04,2023-12-29,True
TT,True,2012,2016-01-04,2023-12-29,True
TWLO,True,1893,2016-06-23,2023-12-29,False
UNH,False,2012,2016-01-04,2023-12-29,True
URBN,True,2012,2016-01-04,2023-12-29,True
V,False,2012,2016-01-04,2023-12-29,True
VIR,True,1062,2019-10-11,2023-12-29,False
VOYA,True,2012,2016-01-04,2023-12-29,True
VZ,False,2012,2016-01-04,2023-12-29,True
W,True,2012,2016-01-04,2023-12-29,True
WDC,True,2012,2016-01-04,2023-12-29,True
WFC,False,2012,2016-01-04,2023-12-29,True
WMB,True,2012,2016-01-04,2023-12-29,True
WMT,False,2012,2016-01-04,2023-12-29,True
WW,True,1183,2019-04-22,2023-12-29,False
WYNN,True,2012,2016-01-04,2023-12-29,True
XLE,False,2012,2016-01-04,2023-12-29,True
XLF,False,2012,2016-01-04,2023-12-29,True
XOM,False,2012,2016-01-04,2023-12-29,True
